,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Serum albumin ,P07724,69 kDa,73.89,85.26,95.70,82.03,81.96,94.25,102.21,68.50,91.41,90.39,83.01,97.50,103.54,40.41,83.70,73.45,70.23,56.50,107.56,62.15,43.58,50.08,102.96,71.48,99.79,86.83,90.88,95.59,50.01,65.45,66.26,70.50,88.69,49.23,132.74,196.68,87.66,101.10,93.60,194.77,76.66,111.15,138.76,120.76,88.00
Serum albumin ,P02769,69 kDa,91.95,9.22,10.83,7.13,0.00,0.00,0.00,0.00,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.19,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,4.67,0.00,0.00,0.00
Serum deprivation-response protein ,Q63918,47 kDa,3.28,0.00,0.00,4.76,6.93,0.00,2.32,2.49,0.00,12.05,6.02,6.88,0.99,8.78,3.76,6.95,5.49,12.56,10.67,12.28,4.19,6.61,4.12,9.04,9.50,3.31,4.94,7.08,11.02,10.91,8.77,12.65,13.86,6.15,8.13,13.92,22.83,14.04,8.34,16.37,27.06,14.01,17.93,12.08,17.38
SH3 domain-binding glutamic acid-rich-like protein ,Q9JJU8,13 kDa,3.28,2.30,0.00,11.89,12.70,3.04,12.78,16.19,20.03,10.04,12.03,10.32,11.83,8.78,13.17,15.88,15.36,6.28,10.67,10.74,15.93,11.34,15.44,13.15,12.36,15.71,9.88,14.16,10.17,11.82,8.77,14.46,16.63,10.26,14.45,6.96,12.78,14.98,18.53,10.34,12.03,12.14,15.59,4.83,4.35
SH3 domain-binding glutamic acid-rich-like protein 3 ,Q91VW3,10 kDa,0.00,3.46,0.00,0.00,1.15,0.00,1.16,0.00,2.50,2.01,0.00,3.44,2.96,5.27,1.88,3.97,5.49,0.00,4.11,6.14,7.54,1.89,3.09,3.29,3.80,4.13,1.98,2.66,3.39,5.45,2.92,2.71,0.92,6.15,5.42,0.00,3.65,7.49,3.71,2.59,2.25,4.67,4.68,8.45,7.60
Short-chain specific acyl-CoA dehydrogenase/ mitochondrial ,Q07417,45 kDa,0.00,4.61,0.00,3.57,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.94,0.00,0.00,0.00,1.64,3.07,0.00,0.00,0.00,7.39,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Single-stranded DNA-binding protein ,Q8R2K3,17 kDa,8.21,1.15,1.81,11.89,10.39,7.60,8.13,7.47,7.51,6.03,7.22,4.59,3.94,9.66,1.88,2.98,1.10,2.09,4.11,5.37,0.84,0.94,0.00,9.86,0.00,4.96,1.98,5.31,6.78,7.27,0.97,3.62,7.39,9.23,2.71,0.00,7.30,4.68,0.93,5.17,5.26,0.00,2.34,0.00,2.17
Small acidic protein ,Q9R0P4,20 kDa,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,0.00,0.00,0.00,0.00,2.82,1.99,2.19,0.00,0.82,0.77,2.51,2.83,3.09,3.29,0.95,0.83,1.98,3.54,1.70,4.55,1.95,1.81,0.00,0.00,1.81,0.00,0.00,0.00,5.56,6.03,3.76,2.80,3.12,1.21,1.09
Small glutamine-rich tetratricopeptide repeat-containing protein alpha ,Q8BJU0,34 kDa,0.00,0.00,5.42,0.00,4.62,0.00,3.48,4.98,1.25,6.03,1.20,0.00,2.96,4.39,1.88,0.00,0.00,1.05,0.00,0.77,0.00,1.89,0.00,0.82,0.00,1.65,1.98,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Small nuclear ribonucleoprotein D3 ,Q91VM2,14 kDa,4.93,8.06,7.22,8.32,10.39,4.56,8.13,4.98,5.01,5.02,4.81,0.00,8.88,5.27,3.76,3.97,5.49,6.28,5.75,3.84,5.03,5.67,5.15,9.86,4.75,7.44,14.82,12.39,14.41,10.91,6.82,11.75,7.39,10.26,5.42,6.96,5.48,4.68,5.56,1.72,6.76,9.34,8.57,1.21,5.43
Small nuclear ribonucleoprotein-associated protein B ,P27048,24 kDa,8.21,18.43,5.42,2.38,5.77,3.04,3.48,11.21,6.26,10.04,7.22,6.88,6.90,8.78,6.58,7.94,16.46,8.37,8.21,6.91,8.38,8.50,7.21,6.57,4.75,9.10,14.82,8.85,11.87,13.64,11.69,8.13,8.31,8.20,13.55,10.44,10.96,7.49,11.12,6.89,9.02,8.41,7.02,7.25,8.69
Small ubiquitin-related modifier 2 ,H7BWX9,6 kDa,3.28,3.46,5.42,1.19,2.31,9.12,4.65,4.98,6.26,2.01,9.62,6.88,1.97,0.00,3.76,1.99,0.00,0.00,0.00,0.77,0.84,0.00,1.03,1.64,5.70,2.48,1.98,1.77,1.70,1.82,1.95,0.00,0.00,3.08,0.00,3.48,2.74,0.00,0.00,2.59,0.00,0.00,0.00,0.00,0.00
Smooth muscle gamma-actin ,Q61852,43 kDa,177.33,127.89,200.42,161.68,158.14,190.01,147.51,156.92,150.26,141.62,162.41,172.05,150.87,130.89,134.48,156.82,166.80,117.18,136.29,119.70,115.67,112.45,146.21,136.38,125.45,118.25,195.59,130.10,177.99,166.35,146.16,165.41,149.67,151.78,96.62,268.05,128.75,129.18,169.58,116.34,148.81,139.17,141.09,198.05,141.23
SNW domain-containing protein 1 ,Q9CSN1,61 kDa,0.00,2.30,1.81,1.19,0.00,1.52,1.16,2.49,1.25,0.00,0.00,0.00,0.00,1.76,0.00,0.00,0.00,0.00,0.82,0.77,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,1.56,0.00,0.00
Sodium channel subunit beta-3 ,Q8BHK2,25 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.82,0.00,0.00,0.99,0.89,0.85,2.73,3.90,5.42,2.77,3.08,2.71,0.00,3.65,4.68,4.63,0.86,3.76,3.74,4.68,0.00,0.00
Sodium/potassium-transporting ATPase subunit alpha-1 ,Q8VDN2,113 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.28,0.00,0.00,0.00,0.00,0.00,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00
Sorbin and SH3 domain-containing protein 1 ,Q62417,143 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,0.00,2.01,0.00,0.00,0.00,0.00,0.94,1.99,0.00,1.05,0.00,0.77,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,1.85,0.00,0.00,0.00,2.74,3.74,1.85,0.86,7.52,0.93,1.56,0.00,0.00
Sorbin and SH3 domain-containing protein 2 ,Q3UTJ2,132 kDa,0.00,0.00,5.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sorbitol dehydrogenase ,Q64442,38 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.83,0.00,1.77,0.00,3.64,1.95,0.00,0.00,2.05,0.90,0.00,0.00,1.87,0.93,0.00,1.50,4.67,1.56,4.83,3.26
Sorcin ,Q6P069,22 kDa,4.93,1.15,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.00,2.41,0.00,0.00,0.00,0.00,1.99,1.10,1.05,0.00,0.00,0.00,0.00,0.00,2.46,1.90,0.83,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,2.59,0.00,2.80,0.78,2.42,4.35
Sorting nexin 1 ,Q6NZD2 (+1),59 kDa,3.28,1.15,0.00,0.00,0.00,0.00,0.00,3.74,1.25,0.00,0.00,0.00,2.96,2.64,2.82,0.99,0.00,0.00,1.64,1.53,2.51,0.94,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sorting nexin-2 ,Q9CWK8,58 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,3.76,0.99,0.00,2.09,1.64,3.07,0.84,0.00,0.00,1.64,0.00,0.00,0.00,0.89,0.00,0.91,0.00,0.00,2.77,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sorting nexin-3 ,O70492,19 kDa,0.00,3.46,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,1.68,1.89,0.00,1.64,0.95,0.00,0.99,0.89,1.70,0.00,0.97,0.90,0.92,2.05,0.90,0.00,0.91,0.94,0.00,3.45,0.75,0.00,5.46,0.00,0.00
SPARC ,P07214,34 kDa,1.64,3.46,0.00,0.00,4.62,1.52,12.78,8.72,2.50,11.05,6.02,4.59,6.90,8.78,8.46,11.91,4.39,6.28,3.28,3.84,7.54,11.34,5.15,5.75,6.65,7.44,9.88,9.74,11.87,9.09,8.77,13.56,12.01,15.38,15.35,3.48,10.96,14.04,9.27,6.89,15.78,12.14,10.91,7.25,5.43
SPARC-like protein 1 ,P70663,72 kDa,0.00,1.15,0.00,2.38,3.46,0.00,1.16,3.74,2.50,4.02,0.00,0.00,0.00,0.88,1.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,2.54,0.00,0.97,0.00,0.92,5.13,0.00,0.00,4.57,1.87,1.85,3.45,5.26,0.93,0.78,0.00,0.00
Specifically androgen-regulated gene protein ,Q8BI29,65 kDa,0.00,0.00,0.00,0.00,5.77,0.00,2.32,4.98,1.25,3.01,0.00,1.15,1.97,0.88,0.00,0.00,1.10,4.19,0.82,1.53,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,7.30,2.81,0.00,0.86,6.76,1.87,1.56,0.00,0.00
Spectrin alpha chain/ non-erythrocytic 1 ,P16546,285 kDa,0.00,1.15,7.22,0.00,0.00,0.00,1.16,2.49,5.01,21.09,1.20,1.15,0.99,5.27,2.82,2.98,3.29,11.51,0.82,6.14,12.57,3.78,4.12,2.46,23.76,3.31,1.98,6.20,6.78,7.27,5.85,5.42,7.39,12.31,1.81,1.74,11.87,5.62,5.56,7.76,6.01,11.21,5.46,8.45,8.69
Spectrin beta chain/ non-erythrocytic 1 ,Q62261,274 kDa,3.28,0.00,0.00,0.00,1.15,0.00,5.81,7.47,8.77,13.06,1.20,1.15,7.89,11.42,8.46,8.93,5.49,15.69,1.64,4.60,10.06,7.56,3.09,4.11,13.31,4.13,4.94,9.74,5.09,5.45,8.77,6.33,7.39,14.36,6.32,1.74,9.13,9.36,5.56,4.31,6.01,4.67,6.24,6.04,9.78
S-phase kinase-associated protein 1 ,Q9WTX5,19 kDa,3.28,0.00,0.00,2.38,0.00,0.00,0.00,0.00,0.00,6.03,1.20,0.00,0.99,0.88,2.82,0.99,1.10,2.09,5.75,11.51,10.90,7.56,2.06,7.39,7.60,4.96,0.00,2.66,0.85,0.00,0.00,0.00,0.00,0.00,2.71,0.00,1.83,2.81,1.85,0.00,3.01,0.00,1.56,1.21,1.09
Spliceosome RNA helicase Ddx39b ,Q9Z1N5,49 kDa,9.85,9.22,21.67,3.57,3.46,12.16,1.16,3.74,3.76,1.00,12.03,6.88,5.92,1.76,0.94,13.90,8.78,10.46,0.00,4.60,4.19,5.67,6.18,6.57,5.70,5.79,0.00,4.43,11.02,4.55,0.97,0.90,0.92,2.05,0.00,0.00,0.00,1.87,3.71,1.72,0.00,0.00,0.00,0.00,2.17
Spliceosome-associated protein CWC15 homolog ,Q9JHS9,27 kDa,4.93,0.00,0.00,0.00,0.00,0.00,2.32,0.00,2.50,4.02,4.81,3.44,0.00,4.39,0.00,1.99,0.00,3.14,0.82,7.67,4.19,2.83,3.09,0.00,0.95,1.65,0.99,0.00,3.39,1.82,0.00,0.00,0.92,2.05,1.81,0.00,1.83,0.00,0.93,0.86,0.00,3.74,0.00,0.00,1.09
Splicing factor 1 ,Q64213,70 kDa,4.93,11.52,7.22,9.51,12.70,7.60,8.13,6.23,8.77,6.03,7.22,6.88,3.94,3.51,6.58,5.96,8.78,8.37,2.46,13.81,7.54,6.61,2.06,7.39,6.65,3.31,3.95,1.77,5.09,10.91,0.00,3.62,4.62,2.05,3.61,1.74,5.48,4.68,6.49,1.72,6.01,2.80,3.90,4.83,4.35
Splicing factor 3A subunit 3 ,Q9D554,59 kDa,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,4.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.77,0.00,1.89,2.06,0.00,0.00,0.00,0.00,0.00,0.85,1.82,1.95,1.81,4.62,5.13,0.90,0.00,0.00,0.00,1.85,0.00,1.50,0.00,0.00,0.00,0.00
Splicing factor U2AF 35 kDa subunit ,Q9D883,28 kDa,0.00,3.46,0.00,1.19,1.15,1.52,0.00,3.74,0.00,1.00,0.00,0.00,0.00,3.51,0.94,1.99,2.19,1.05,3.28,1.53,1.68,3.78,2.06,3.29,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Splicing factor U2AF 65 kDa subunit ,P26369 (+1),54 kDa,0.00,0.00,0.00,0.00,3.46,0.00,0.00,1.25,2.50,3.01,2.41,5.74,2.96,3.51,0.94,4.96,2.19,9.42,0.82,1.53,5.03,3.78,2.06,0.00,3.80,2.48,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,1.83,1.87,3.71,0.00,1.50,1.87,0.00,0.00,0.00
Splicing factor/ proline- and glutamine-rich ,Q8VIJ6,75 kDa,8.21,49.54,9.03,45.18,43.86,28.88,27.88,32.38,20.03,8.04,16.84,19.50,11.83,35.14,22.57,26.80,20.85,21.97,23.81,25.32,13.41,17.01,11.33,32.86,13.31,17.37,24.70,20.36,35.60,21.82,22.41,24.41,20.33,13.33,18.06,27.85,10.96,12.17,15.75,3.45,18.04,6.54,8.57,7.25,11.95
Spondin-1 ,Q8VCC9,91 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00,0.00,1.03,0.82,0.00,0.00,0.00,1.77,1.70,0.91,0.97,0.00,0.92,1.03,3.61,0.00,0.91,1.87,0.93,5.17,8.27,0.00,3.90,2.42,0.00
Src substrate cortactin ,Q60598,61 kDa,1.64,1.15,0.00,8.32,8.08,4.56,4.65,11.21,5.01,9.04,3.61,5.74,8.88,4.39,3.76,8.93,3.29,12.56,7.39,10.74,13.41,14.17,4.12,5.75,7.60,8.27,4.94,10.62,11.02,10.00,11.69,8.13,5.54,7.18,9.93,3.48,6.39,4.68,3.71,8.62,10.52,2.80,1.56,2.42,2.17
Stathmin ,P54227,17 kDa,24.63,9.22,9.03,13.08,10.39,3.04,10.45,11.21,15.03,12.05,7.22,5.74,6.90,6.15,7.52,7.94,15.36,9.42,4.93,14.58,22.63,12.28,27.80,9.04,11.41,14.88,6.91,11.51,13.56,5.45,4.87,5.42,3.70,4.10,4.52,6.96,8.22,8.43,8.34,8.62,5.26,10.27,7.80,8.45,13.04
STE20-like serine/threonine-protein kinase ,O54988,141 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.76,0.94,0.00,0.00,0.00,0.82,1.53,2.51,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stefin A1 ,Q8CGL5,11 kDa,0.00,0.00,0.00,0.00,1.15,0.00,3.48,4.98,3.76,9.04,12.03,9.18,2.96,5.27,7.52,6.95,3.29,4.19,4.11,1.53,7.54,7.56,2.06,2.46,8.55,7.44,1.98,8.85,2.54,5.45,0.97,0.00,2.77,2.05,3.61,0.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stefin-1 ,P35175,11 kDa,0.00,0.00,0.00,0.00,0.00,0.00,3.48,6.23,11.27,10.04,18.05,13.76,6.90,0.00,11.29,5.96,9.88,7.32,4.93,2.30,8.38,0.00,0.00,2.46,11.41,7.44,0.00,9.74,0.00,0.00,2.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stefin-2 ,P35174,12 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,4.98,3.76,4.02,12.03,5.74,5.92,4.39,5.64,3.97,7.68,0.00,6.57,3.84,1.68,3.78,2.06,4.11,3.80,5.79,0.00,0.89,3.39,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stefin-3 ,P35173,12 kDa,0.00,0.00,0.00,0.00,4.62,0.00,2.32,3.74,3.76,3.01,10.83,2.29,4.93,2.64,1.88,1.99,4.39,3.14,0.82,1.53,0.00,0.00,0.00,1.64,6.65,3.31,0.00,8.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stress-70 protein/ mitochondrial ,P38647,73 kDa,3.28,2.30,7.22,2.38,0.00,0.00,0.00,0.00,1.25,4.02,2.41,0.00,0.00,0.00,0.00,1.99,0.00,1.05,0.82,0.77,2.51,0.00,3.09,0.00,6.65,0.83,0.00,0.89,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Stress-induced-phosphoprotein 1 ,Q60864,63 kDa,3.28,6.91,5.42,5.94,2.31,7.60,5.81,6.23,5.01,7.03,4.81,4.59,3.94,4.39,7.52,3.97,4.39,6.28,7.39,8.44,14.25,10.39,9.27,4.93,4.75,7.44,6.91,1.77,5.93,4.55,8.77,4.52,4.62,8.20,4.52,0.00,6.39,6.55,3.71,3.45,5.26,2.80,3.12,0.00,0.00
Succinate dehydrogenase [ubiquinone] flavoprotein subunit/ mitochondrial ,Q8K2B3,73 kDa,6.57,6.91,9.03,3.57,2.31,6.08,0.00,0.00,6.26,2.01,6.02,10.32,1.97,6.15,3.76,4.96,3.29,6.28,5.75,3.84,1.68,5.67,7.21,8.22,2.85,4.96,7.90,0.89,5.09,0.91,4.87,4.52,2.77,6.15,4.52,0.00,10.04,7.49,5.56,7.76,4.51,12.14,1.56,0.00,2.17
Succinate dehydrogenase [ubiquinone] iron-sulfur subunit/ mitochondrial ,Q9CQA3,32 kDa,0.00,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.07,0.00,0.00,0.00,0.00,0.00,0.00,1.98,2.66,1.70,0.00,0.00,3.62,0.92,0.00,0.90,0.00,2.74,2.81,0.93,0.86,0.75,0.93,0.00,0.00,0.00
Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha/ mitochondrial ,Q9WUM5,36 kDa,1.64,3.46,0.00,0.00,3.46,6.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.00,0.00,1.10,0.00,0.82,0.00,0.00,0.94,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,1.50,0.00,0.00,0.00,0.00
Sulfatase-modifying factor 2 ,Q8BPG6,35 kDa,8.21,2.30,0.00,5.94,4.62,0.00,2.32,1.25,0.00,0.00,0.00,1.15,0.00,2.64,0.00,0.99,2.19,0.00,0.00,1.53,2.51,1.89,0.00,4.11,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SUMO-activating enzyme subunit 1 ,Q9R1T2,39 kDa,0.00,1.15,0.00,2.38,6.93,0.00,3.48,0.00,0.00,1.00,0.00,3.44,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,3.35,1.89,0.00,6.57,0.00,3.31,0.00,0.00,0.00,0.91,0.97,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Superoxide dismutase [Cu-Zn] ,P08228,16 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,4.19,3.78,2.06,0.00,4.75,2.48,0.00,3.54,1.70,0.00,4.87,4.52,3.70,2.05,3.61,0.00,4.57,2.81,0.93,10.34,4.51,9.34,7.80,12.08,8.69
Superoxide dismutase [Mn]/ mitochondrial ,P09671,25 kDa,6.57,0.00,3.61,0.00,2.31,0.00,1.16,0.00,0.00,2.01,0.00,2.29,3.94,3.51,2.82,1.99,3.29,0.00,0.82,0.77,0.00,1.89,4.12,1.64,3.80,3.31,6.91,4.43,5.09,4.55,3.90,3.62,4.62,4.10,0.90,0.00,2.74,0.94,3.71,1.72,3.01,3.74,4.68,7.25,4.35
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 ,O54941,47 kDa,1.64,1.15,0.00,2.38,2.31,0.00,5.81,8.72,3.76,3.01,2.41,2.29,0.00,0.00,1.88,4.96,1.10,0.00,0.00,0.00,0.00,1.89,2.06,0.82,0.95,0.00,0.00,1.77,0.00,0.00,1.95,0.90,3.70,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Synaptosomal-associated protein ,Q9D3L3,25 kDa,4.93,0.00,0.00,4.76,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.84,0.00,1.03,0.00,1.90,3.31,0.00,2.66,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,3.65,0.94,0.93,0.00,2.25,0.00,0.78,0.00,0.00
Syntaxin binding protein 5-like ,B2RQE5 (+1),111 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Syntaxin-7 ,O70439,30 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,2.01,2.41,3.44,0.00,0.00,1.88,0.00,4.39,2.09,0.82,0.00,0.00,0.00,1.03,0.82,1.90,0.00,1.98,0.89,0.00,0.00,1.95,0.90,0.92,3.08,1.81,0.00,9.13,1.87,5.56,0.00,3.01,0.93,4.68,0.00,0.00
Talin-1 ,P26039,270 kDa,0.00,0.00,0.00,0.00,0.00,0.00,6.97,6.23,1.25,25.11,0.00,1.15,0.99,3.51,6.58,5.96,0.00,21.97,0.00,7.67,16.76,4.72,0.00,0.00,19.96,7.44,0.99,2.66,0.00,1.82,1.95,1.81,1.85,3.08,2.71,0.00,3.65,4.68,3.71,4.31,3.76,1.87,3.90,0.00,0.00
TANK-binding kinase 1-binding protein 1 ,A2A9T0,67 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tankyrase 1 binding protein 1 ,B9EKJ7 (+1),182 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.91,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TAR DNA-binding protein 43 ,Q921F2,45 kDa,0.00,4.61,3.61,7.13,5.77,7.60,6.97,11.21,2.50,5.02,4.81,5.74,0.00,8.78,5.64,6.95,0.00,8.37,9.03,6.91,10.06,11.34,2.06,6.57,0.00,4.96,3.95,0.89,5.93,0.00,0.00,0.90,7.39,0.00,4.52,0.00,4.57,5.62,3.71,0.86,6.01,0.00,0.00,0.00,0.00
Tenascin ,Q80YX1,232 kDa,1.64,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,2.01,0.00,0.00,1.97,0.00,0.94,2.98,1.10,0.00,2.46,2.30,7.54,4.72,2.06,2.46,3.80,6.62,0.00,1.77,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thioredoxin ,P10639,12 kDa,3.28,0.00,0.00,0.00,0.00,3.04,2.32,0.00,2.50,2.01,0.00,1.15,4.93,1.76,2.82,0.99,2.19,0.00,0.00,0.00,2.51,2.83,1.03,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,1.85,2.05,1.81,0.00,0.91,0.94,0.00,2.59,1.50,1.87,3.12,2.42,0.00
Thioredoxin domain-containing protein 5 ,Q91W90,46 kDa,0.00,1.15,0.00,2.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.89,2.54,0.00,0.00,2.71,2.77,2.05,0.00,0.00,3.65,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thioredoxin reductase 2/ mitochondrial ,Q9JLT4,57 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.15,0.00,1.76,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.91,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
